id_origem;cd_origem;id_categoria_economica;categoria_economica;nome
59;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA RECEITA DA DIVIDA ATIVA NAO TRIBUTARIA DE OUTRAS RECEITAS - CESSAO DE DIREITOS CREDITORIOS - LEI 19266/2010
60;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - COTA-PARTE DO ESTADO PARA O FUNDEB - MULTAS E JUROS DE MORA SOBRE A DIVIDA ATIVA DO IPVA
61;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - COTA-PARTE DO ESTADO PARA O FUNDEB - MULTAS E JUROS DE MORA SOBRE A DIVIDA ATIVA DO ITCD
62;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - DIVIDA ATIVA DO IPVA
63;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - DIVIDA ATIVA DO ITCD
64;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - DIVIDA ATIVA TRIBUTARIA DO ITCD
65;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - MULTA E JUROS DE MORA DA DIVIDA ATIVA DO ICMS
66;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - MULTAS DO ICMS
67;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - MULTAS DO IPVA
68;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - MULTAS DO ITCD
69;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - MULTAS E JUROS DE MORA DA DIVIDA ATIVA DO IPVA
70;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - MULTAS E JUROS DE MORA DA DIVIDA ATIVA DO ITCD
71;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEF - DIVIDA ATIVA NAO TRIBUTARIA ICMS
72;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEF - MULTAS DO ICMS
73;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEB - DIVIDA ATIVA DO ICMS
74;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEB - DIVIDA ATIVA TRIBUTARIA ICMS
75;9;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEF - DIVIDA ATIVA TRIBUTARIA ICMS
142;7;9;DEDUCAO DAS RECEITAS;DEDUC?O DAS RECEITAS - TRANSFERENCIAS CORRENTES
143;9;9;DEDUCAO DAS RECEITAS;DEDUC?O DAS RECEITAS - OUTRAS RECEITAS CORRENTES
144;1;9;DEDUCAO DAS RECEITAS;DEDUC?O DAS RECEITAS - IMPOSTOS, TAXAS E CONTRIBUIC?ES DE MELHORIA
145;3;9;DEDUCAO DAS RECEITAS;DEDUC?O DAS RECEITAS - RECEITA PATRIMONIAL
76;1;7;RECEITA INTRAORCAMENTARIA;RECEITA INTRAORCAMENTARIA - IMPOSTOS, TAXAS E CONTRIBUICOES DE MELHORIA
77;0;9;DEDUCAO DAS RECEITAS;DEDUCAO DAS RECEITAS
78;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - PRINCIPAL
79;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DAS RECEITAS - IMPOSTO SOBRE A PROPRIEDADE DE VEICULOS AUTOMOTORES - DIVIDA ATIVA
80;1;9;DEDUCOES DA RECEITA CORRENTE;"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS"
81;1;9;DEDUCOES DA RECEITA CORRENTE;"DEDUCAO DAS RECEITAS - IMPOSTO SOBRE TRANSMISSAO ""CAUSA MORTIS"" E DOACAO DE BENS E DIREITOS - PRINCIPAL - COTA PARTE DO ESTADO PARA O FUNDEB"
