id_tempo,id_unidade_orc,id_origem,id_especie,id_desdobramento_1,id_desdobramento_2,id_desdobramento_3,id_tipo,id_item,id_subitem,id_fonte,cd_fonte,cd_classificacao_rec,ano_particao,vr_efetivado
2250,3918,141,206,17,154,189,575,3078,2951,25,60,1610031106000.0,2019,43202.78
2250,3879,141,193,94,312,174,346,3034,1046,25,60,1690991101000.0,2019,858.75
2250,3865,11,131,96,418,497,1317,4634,2225,25,60,1910091101000.0,2019,59.370000000000005
2250,3911,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2019,1831.01
2250,3941,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2019,148289.33000000002
2250,3937,120,76,2,377,308,10,3733,1149,8,72,1121041102000.0,2019,20577204.24
2250,3884,120,76,64,41,659,320,4983,3057,136,77,1122021201000.0,2019,31.07
2250,3884,120,76,64,41,659,1057,4985,3060,136,77,1122021302000.0,2019,198959.4
2250,3937,120,44,124,64,209,212,2530,1542,4,23,1118012103000.0,2019,22380938.8
2250,3859,121,149,176,115,519,970,2845,2288,4,23,9118012203000.0,2019,0.0
2250,3905,6,191,118,91,60,1440,4806,1705,22,24,1321001101000.0,2019,2723.2200000000003
2250,3869,11,168,154,165,607,946,4268,267,22,24,1922991199000.0,2019,19686.31
2250,3888,6,207,20,394,553,491,3256,2781,25,60,1310011101001.0,2019,3100.0
2250,3927,141,206,17,343,639,1005,3214,1636,25,60,1610011130000.0,2019,16919.03
2251,3937,99,136,178,71,726,1355,4682,424,4,23,9118013303000.0,2019,-94283.38
2251,3835,6,191,118,91,60,1440,4806,1705,22,24,1321001101000.0,2019,-32367.170000000002
2250,3911,120,76,64,111,205,1140,2953,2048,132,91,1122011301006.0,2019,84206.34
2251,3937,6,207,20,90,559,862,3874,2407,73,10,1310021101999.0,2019,200462.07
2251,3937,11,131,96,371,708,1126,4337,2220,73,10,1910061101000.0,2019,582.1
2251,3908,11,168,154,165,607,946,4852,2863,73,10,1922991101000.0,2019,60231.36
2251,3937,120,44,124,64,209,213,3126,2261,4,23,1118012303000.0,2019,1357627.02
2252,3909,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2019,8451.98
2252,3914,135,138,132,180,323,426,4402,1932,25,60,7630011106000.0,2019,0.0
2252,3932,15,2,21,220,812,1319,4636,2593,65,61,2300071199000.0,2019,0.0
2251,3865,112,132,23,176,521,419,4080,1190,40,49,7210991101002.0,2019,9226676.16
2251,3865,137,22,14,26,431,322,2976,2435,79,50,1210991102007.0,2019,11402.99
2251,3923,120,76,2,266,506,790,3456,1175,25,60,1121011104000.0,2019,3416801.33
2251,3865,137,22,14,26,431,882,3612,997,25,60,1210991299000.0,2019,583.28
2251,3835,6,207,20,394,553,491,3256,2042,25,60,1310011101002.0,2019,4030.0
2252,3856,6,191,118,91,60,1440,4806,1705,22,24,1321001101000.0,2019,193821.57
2252,3937,120,76,2,266,506,206,4354,2241,76,27,1121011301003.0,2019,0.0
2252,3937,120,76,2,266,506,206,4354,1144,72,53,1121011301005.0,2019,23091.510000000002
2252,3937,11,131,96,413,802,927,3075,348,73,10,1910011304999.0,2019,144223.7
2252,3937,11,168,154,165,607,946,4268,267,73,10,1922991199000.0,2019,2268319.64
2252,3937,11,208,58,212,794,173,4584,2915,73,10,1990991199000.0,2019,214368.92
2252,3899,10,145,173,316,690,1288,4593,1463,29,21,1718051101000.0,2019,47803727.45
2252,3937,81,199,127,331,216,1170,3143,47,4,23,9118013103000.0,2019,-5971281.0600000005
2251,3912,6,190,141,304,569,331,2997,227,25,60,1331011101002.0,2019,184655.88
2251,3865,141,206,17,343,639,1005,2634,908,25,60,1610011120000.0,2019,35082.55
2251,3927,141,206,17,343,639,1005,3214,1636,25,60,1610011130000.0,2019,23102.07
2251,3913,141,206,17,218,90,764,3701,2568,25,60,1610021101000.0,2019,605033.0
2251,3918,141,206,17,154,189,575,4328,354,25,60,1610031199000.0,2019,62376.44
2251,3932,15,2,21,220,812,1319,4636,2593,65,61,2300071199000.0,2019,3867.5
2251,3911,6,191,118,91,60,1440,4806,1705,96,70,1321001101000.0,2019,89538.21
2251,3937,120,76,2,266,506,598,3727,2243,76,27,1121011401003.0,2019,1071.95
2251,3937,11,168,154,165,607,946,4268,267,75,31,1922991199000.0,2019,7335.46
2251,3899,11,168,154,165,607,946,4555,2490,87,36,1922991106000.0,2019,11106.64
