id_tipo,cd_tipo,nome
281,4,CONTRIBUICAO SOBRE A RECEITA OPERACIONAL BRUTA DECORRENTE DE PRESTACAO DE SERVICOS DE TELECOMUNICACOES - DIVIDA ATIVA - MULTAS E JUROS
282,2,CONTRIBUICAO SOBRE A RECEITA BRUTA DAS EMPRESAS PRESTADORAS DE SERVICOS DE TELECOMUNICACOES - MULTAS E JUROS
283,1,ROYALTIES EXCEDENTES PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CONTRATO DE CONCESSAO - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012 - QUALQUER S
284,1,PARTICIPACAO ESPECIAL PELA PRODUCAO DE PETROLEO EM TERRA (QUALQUER SITUACAO) - CONTRATO DE CONCESSAO - PRINCIPAL
285,1,ROYALTIES MINIMOS PELA PRODUCAO DE PETROLEO EM TERRA - CESSAO ONEROSA - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012 - PRINCIPAL
286,4,CONTRIBUICAO SOBRE A LOTERIA FEDERAL - DIVIDA ATIVA - MULTAS E JUROS
287,0,CONTRIBUICAO SOBRE LOTERIAS ESPORTIVAS
288,1,CONTRIBUICAO SOBRE LOTERIAS DE NUMEROS - PRINCIPAL
289,2,CONTRIBUICAO SOBRE LOTERIAS DE NUMEROS - MULTAS E JUROS
290,4,CONTRIBUICAO SOBRE LOTERIAS DE NUMEROS - DIVIDA ATIVA - MULTAS E JUROS
291,0,OUTRAS CONTRIBUICOES ECONOMICAS
292,1,OUTRAS CONTRIBUICOES ECONOMICAS - PRINCIPAL
293,1,ROYALTIES EXCEDENTES PELA PRODUCAO DE PETROLEO EM PLATAFORMA - CESSAO ONEROSA - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012 - PRINCIPAL
294,0,OUTORGA DOS SERVICOS DE EXPLORACAO E PRODUCAO DE PETROLEO E GAS NATURAL - REGIME DE PARTILHA DE PRODUCAO
295,0,BONUS DE ASSINATURA DE CONTRATO DE PARTILHA DE PRODUCAO
296,0,ROYALTIES PELA PRODUCAO DE PETROLEO - PARTILHA DE PRODUCAO - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012
297,1,ROYALTIES PELA PRODUCAO DE PETROLEO EM PLATAFORMA - PARTILHA DE PRODUCAO - DECLARACAO DE COMERCIALIDADE A PARTIR DE 3/12/2012 - PRINCIPAL
298,3,CONTRIBUICAO SOBRE LOTERIA INSTANTANEA - DIVIDA ATIVA
299,3,CONTRIBUICAO SOBRE SORTEIOS REALIZADOS POR ENTIDADES FILANTROPICAS - DIVIDA ATIVA
300,1,CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA - PRINCIPAL
301,0,"ALUGUEIS, ARRENDAMENTOS, FOROS, LAUDEMIOS, TARIFAS DE OCUPACAO"
302,2,ALUGUEIS E ARRENDAMENTOS - MULTAS E JUROS
303,0,COMPENSACAO FINANCEIRA PELA EXPLORACAO DE RECURSOS MINERAIS
304,0,CONTRIBUICAO SOCIAL DO SALARIO-EDUCACAO
387,0,INDENIZACAO POR SINISTRO
305,4,CONCESSAO DE USO DO POTENCIAL DE ENERGIA HIDRAULICA - DIVIDA ATIVA - MULTAS E JUROS
306,1,UTILIZACAO DE RECURSOS HIDRICOS - ITAIPU - PRINCIPAL
307,0,UTILIZACAO DE RECURSOS HIDRICOS - DEMAIS EMPRESAS
308,2,CONCESSAO DE FLORESTAS NACIONAIS - DEMAIS VALORES - MULTAS E JUROS
309,3,CONTRIBUICAO SOBRE A ARRECADACAO DOS FUNDOS DE INVESTIMENTOS REGIONAIS - DIVIDA ATIVA
310,0,CONTRIBUICAO INDUSTRIAL RURAL
311,1,CONTRIBUICAO INDUSTRIAL RURAL - PRINCIPAL
312,3,CONTRIBUICAO PARA O ENSINO AEROVIARIO - DIVIDA ATIVA
